iter	Passed	Remaining
417	3441	4791
418	3449	4782
419	3456	4772
420	3463	4763
421	3470	4754
422	3478	4745
423	3486	4736
424	3494	4727
425	3502	4719
426	3510	4711
427	3518	4702
428	3527	4695
429	3535	4686
430	3544	4678
431	3551	4670
432	3559	4661
433	3568	4653
434	3576	4644
435	3583	4635
436	3592	4628
437	3600	4619
438	3609	4612
439	3616	4603
440	3625	4595
441	3633	4586
442	3641	4578
443	3650	4570
444	3658	4563
445	3666	4554
446	3674	4545
447	3681	4536
448	3689	4527
449	3696	4518
450	3704	4509
451	3713	4502
452	3721	4493
453	3729	4484
454	3736	4475
455	3744	4467
456	3753	4459
457	3761	4451
458	3769	4443
459	3778	4435
460	3786	4426
461	3794	4418
462	3802	4409
463	3810	4401
464	3817	4392
465	3825	4383
466	3833	4374
467	3842	4367
468	3850	4359
469	3858	4350
470	3865	4341
471	3873	4333
472	3881	4324
473	3889	4315
474	3896	4306
475	3904	4298
476	3911	4288
477	3919	4279
478	3926	4270
479	3933	4261
480	3940	4252
481	3948	4243
482	3956	4234
483	3963	4225
484	3971	4217
485	3978	4208
486	3987	4199
487	3994	4191
488	4002	4182
489	4009	4173
490	4017	4165
491	4025	4155
492	4032	4147
493	4040	4138
494	4047	4129
495	4055	4120
496	4062	4111
497	4070	4102
498	4077	4093
499	4085	4085
500	4092	4076
501	4100	4067
502	4108	4059
503	4116	4050
504	4123	4041
505	4130	4032
506	4138	4023
507	4145	4015
508	4154	4007
509	4162	3998
510	4169	3989
511	4176	3981
512	4184	3972
513	4192	3963
514	4199	3954
515	4207	3946
516	4214	3937
517	4222	3928
518	4229	3920
519	4236	3910
520	4244	3902
521	4251	3892
522	4258	3884
523	4266	3875
524	4273	3866
525	4280	3857
526	4287	3848
527	4295	3839
528	4302	3830
529	4310	3822
530	4317	3813
531	4324	3804
532	4332	3795
533	4339	3786
534	4347	3778
535	4354	3769
536	4361	3760
537	4368	3751
538	4376	3743
539	4384	3734
540	4391	3726
541	4398	3717
542	4406	3708
543	4413	3699
544	4420	3690
545	4427	3681
546	4434	3672
547	4441	3663
548	4448	3654
549	4455	3645
550	4463	3636
551	4470	3628
552	4477	3619
553	4484	3610
554	4492	3601
555	4499	3592
556	4506	3584
557	4513	3575
558	4520	3566
559	4527	3557
560	4535	3548
561	4542	3539
562	4549	3531
563	4556	3522
564	4563	3513
565	4571	3505
566	4578	3496
567	4586	3488
568	4593	3479
569	4600	3470
570	4607	3462
571	4615	3453
572	4622	3444
573	4629	3435
574	4637	3427
575	4643	3418
576	4651	3409
577	4658	3401
578	4666	3392
579	4673	3384
580	4680	3375
581	4687	3366
582	4694	3357
583	4702	3349
584	4709	3340
585	4716	3332
586	4723	3323
587	4730	3314
588	4737	3306
589	4744	3297
590	4752	3288
591	4759	3280
592	4767	3271
593	4774	3263
594	4781	3254
595	4789	3246
596	4797	3238
597	4805	3230
598	4812	3221
599	4820	3213
600	4827	3205
601	4835	3196
602	4843	3188
603	4851	3180
604	4859	3172
605	4866	3164
606	4874	3156
607	4882	3148
608	4890	3139
609	4897	3131
610	4904	3122
611	4911	3113
612	4918	3105
613	4925	3096
614	4932	3087
615	4939	3079
616	4946	3070
617	4953	3061
618	4961	3053
619	4967	3044
620	4975	3036
621	4982	3028
622	4990	3019
623	4997	3011
624	5005	3003
625	5012	2994
626	5019	2986
627	5026	2977
628	5034	2969
629	5041	2960
630	5048	2952
631	5056	2944
632	5063	2935
633	5070	2927
634	5078	2918
635	5085	2910
636	5093	2902
637	5100	2894
638	5108	2886
639	5116	2877
640	5124	2869
641	5132	2861
642	5140	2854
643	5148	2845
644	5156	2838
645	5164	2830
646	5172	2822
647	5180	2814
648	5188	2806
649	5196	2798
650	5205	2790
651	5213	2782
652	5221	2774
653	5229	2766
654	5237	2758
655	5245	2750
656	5254	2743
657	5262	2735
658	5271	2727
659	5279	2719
660	5287	2711
661	5294	2703
662	5303	2695
663	5310	2687
664	5318	2679
665	5326	2671
666	5334	2663
667	5342	2655
668	5350	2647
669	5357	2638
670	5365	2630
671	5373	2622
672	5381	2614
673	5389	2606
674	5396	2598
675	5404	2590
676	5412	2582
677	5419	2573
678	5426	2565
679	5434	2557
680	5442	2549
681	5449	2541
682	5456	2532
683	5464	2524
684	5472	2516
685	5479	2508
686	5486	2499
687	5494	2491
688	5502	2483
689	5510	2475
690	5517	2467
691	5525	2459
692	5533	2451
693	5540	2442
694	5548	2435
695	5556	2427
696	5564	2419
697	5571	2410
698	5580	2402
699	5588	2394
700	5595	2386
701	5603	2378
702	5610	2370
703	5617	2362
704	5625	2353
705	5632	2345
706	5641	2337
707	5650	2330
708	5658	2322
709	5666	2314
710	5674	2306
711	5682	2298
712	5689	2290
713	5696	2281
714	5704	2273
715	5711	2265
716	5720	2257
717	5728	2249
718	5736	2242
719	5745	2234
720	5753	2226
721	5760	2218
722	5768	2210
723	5776	2201
724	5783	2193
725	5791	2185
726	5798	2177
727	5805	2169
728	5812	2160
729	5820	2152
730	5827	2144
731	5835	2136
732	5842	2128
733	5850	2120
734	5858	2112
735	5867	2104
736	5875	2096
737	5882	2088
738	5890	2080
739	5899	2072
740	5907	2064
741	5914	2056
742	5923	2048
743	5930	2040
744	5938	2032
745	5960	2029
746	5968	2021
747	5976	2013
748	5985	2005
749	5992	1997
750	6000	1989
751	6007	1981
752	6014	1972
753	6022	1964
754	6029	1956
755	6037	1948
756	6044	1940
757	6052	1932
758	6060	1924
759	6067	1916
760	6075	1907
761	6083	1899
762	6090	1891
763	6097	1883
764	6105	1875
765	6112	1867
766	6120	1859
767	6128	1851
768	6137	1843
769	6145	1835
770	6153	1827
771	6161	1819
772	6169	1811
773	6177	1803
774	6185	1795
775	6192	1787
776	6200	1779
777	6209	1771
778	6216	1763
779	6224	1755
780	6232	1747
781	6241	1739
782	6249	1731
783	6258	1724
784	6266	1716
785	6275	1708
786	6284	1700
787	6292	1692
788	6301	1685
789	6310	1677
790	6319	1669
791	6329	1662
792	6337	1654
793	6345	1646
794	6353	1638
795	6361	1630
796	6369	1622
797	6377	1614
798	6385	1606
799	6393	1598
800	6401	1590
801	6410	1582
802	6418	1574
803	6426	1566
804	6433	1558
805	6442	1550
806	6450	1542
807	6458	1534
808	6466	1526
809	6473	1518
810	6481	1510
811	6489	1502
812	6497	1494
813	6505	1486
814	6513	1478
815	6522	1470
816	6529	1462
817	6537	1454
818	6545	1446
819	6553	1438
820	6561	1430
821	6570	1422
822	6578	1414
823	6587	1406
824	6595	1398
825	6603	1391
826	6612	1383
827	6620	1375
828	6629	1367
829	6638	1359
830	6647	1351
831	6656	1344
832	6664	1336
833	6672	1328
834	6680	1320
835	6688	1312
836	6697	1304
837	6705	1296
838	6713	1288
839	6721	1280
840	6729	1272
841	6736	1264
842	6743	1255
843	6751	1247
844	6758	1239
845	6766	1231
846	6772	1223
847	6780	1215
848	6787	1207
849	6794	1199
850	6801	1190
851	6809	1182
852	6816	1174
853	6823	1166
854	6831	1158
855	6838	1150
856	6845	1142
857	6852	1134
858	6860	1126
859	6867	1118
860	6875	1109
861	6882	1101
862	6889	1093
863	6897	1085
864	6903	1077
865	6911	1069
866	6919	1061
867	6927	1053
868	6934	1045
869	6941	1037
870	6948	1029
871	6956	1021
872	6963	1013
873	6971	1004
874	6978	996
875	6985	988
876	6993	980
877	7000	972
878	7007	964
879	7014	956
880	7021	948
881	7028	940
882	7035	932
883	7042	924
884	7049	915
885	7056	907
886	7063	899
887	7070	891
888	7077	883
889	7084	875
890	7091	867
891	7098	859
892	7106	851
893	7113	843
894	7121	835
895	7127	827
896	7135	819
897	7142	811
898	7149	803
899	7156	795
900	7163	787
901	7171	779
902	7178	771
903	7185	763
904	7192	755
905	7201	747
906	7208	739
907	7215	731
908	7223	723
909	7230	715
910	7237	707
911	7244	699
912	7251	690
913	7258	682
914	7265	674
915	7272	666
916	7280	658
917	7287	650
918	7295	643
919	7303	635
920	7310	627
921	7318	619
922	7326	611
923	7334	603
924	7341	595
925	7349	587
926	7356	579
927	7363	571
928	7371	563
929	7377	555
930	7384	547
931	7392	539
932	7399	531
933	7406	523
934	7413	515
935	7420	507
936	7427	499
937	7434	491
938	7441	483
939	7448	475
940	7455	467
941	7462	459
942	7469	451
943	7477	443
944	7483	435
945	7491	427
946	7498	419
947	7505	411
948	7512	403
949	7518	395
950	7526	387
951	7533	379
952	7539	371
953	7546	363
954	7553	355
955	7561	348
956	7568	340
957	7575	332
958	7583	324
959	7591	316
960	7598	308
961	7605	300
962	7612	292
963	7619	284
964	7627	276
965	7634	268
966	7641	260
967	7648	252
968	7656	244
969	7663	237
970	7671	229
971	7679	221
972	7686	213
973	7693	205
974	7701	197
975	7708	189
976	7715	181
977	7723	173
978	7730	165
979	7737	157
980	7744	149
981	7751	142
982	7758	134
983	7765	126
984	7773	118
985	7780	110
986	7788	102
987	7795	94
988	7803	86
989	7810	78
990	7817	70
991	7824	63
992	7831	55
993	7838	47
994	7845	39
995	7853	31
996	7860	23
997	7868	15
998	7875	7
999	7882	0
